filename,psnr_ssim,psnr_edge,ssim_ssim,ssim_edge,mae_ssim,mae_edge,mse_ssim,mse_edge,grad_mae_ssim,grad_mae_edge,d_PSNR,d_SSIM,d_MAE,d_MSE,d_GradMAE
000804.npy,20.796047912773933,20.84679131661252,0.6279131159641859,0.6255488656227803,0.0669451355934143,0.06665490567684174,0.008325210772454739,0.008228504098951817,0.5550852,0.5515245,0.05074340383858811,-0.002364250341405527,-0.0002902299165725708,-9.670667350292206e-05,-0.0035606623
000815.npy,23.115249132027415,23.134839762501453,0.6879750214055711,0.6842043497485221,0.048444412648677826,0.04846840351819992,0.00488062109798193,0.004858654458075762,0.4071557,0.40623772,0.019590630474038306,-0.0037706716570490295,2.3990869522094727e-05,-2.1966639906167984e-05,-0.00091797113
000835.npy,23.96914957261769,23.994641197895227,0.7832247393344138,0.784113953893777,0.03788897395133972,0.03776862844824791,0.004009452182799578,0.003985987044870853,0.31080186,0.3092454,0.025491625277535235,0.0008892145593631939,-0.00012034550309181213,-2.346513792872429e-05,-0.0015564561
000854.npy,22.20143057437197,22.22827237441864,0.5984402126828041,0.5957726337090805,0.0575193352997303,0.057373687624931335,0.00602361187338829,0.005986497271806002,0.46332026,0.46155477,0.026841800046671693,-0.0026675789737236055,-0.00014564767479896545,-3.711460158228874e-05,-0.0017654896
000860.npy,28.91053171563032,28.933771068792634,0.8674522970086895,0.8670907007752005,0.022009482607245445,0.021991871297359467,0.0012851293431594968,0.0012782708508893847,0.17228764,0.17143315,0.023239353162313847,-0.000361596233489081,-1.76113098859787e-05,-6.858492270112038e-06,-0.0008544922
000863.npy,25.467060903015167,25.48634416426294,0.6804936572593702,0.67965826441136,0.040417447686195374,0.040414173156023026,0.0028398402500897646,0.0028272587805986404,0.2878383,0.28617036,0.019283261247771577,-0.0008353928480101525,-3.2745301723480225e-06,-1.2581469491124153e-05,-0.0016679466
000870.npy,24.297411614726023,24.305692156092192,0.2924427010029145,0.2905234159922267,0.048489850014448166,0.04845820739865303,0.003717567306011915,0.0037104857619851828,0.3529557,0.35239536,0.008280541366168848,-0.0019192850106877768,-3.16426157951355e-05,-7.081544026732445e-06,-0.00056034327
000877.npy,34.02351374259161,34.219432235711736,0.8331509075493813,0.843959962888956,0.014436205849051476,0.014005281031131744,0.0003959575551562011,0.0003784920845646411,0.09933005,0.093987234,0.195918493120125,0.010809055339574769,-0.00043092481791973114,-1.7465470591560006e-05,-0.005342819
000878.npy,35.64373510069361,35.77322891989681,0.8710798323915004,0.877207076798521,0.012183037586510181,0.011922680772840977,0.0002726631937548518,0.0002646532084327191,0.0834611,0.08019867,0.1294938192031978,0.0061272444070205045,-0.0002603568136692047,-8.009985322132707e-06,-0.0032624304
000880.npy,28.419258713355816,28.422115524169918,0.5157260240335277,0.5132313305375725,0.02978070080280304,0.029792383313179016,0.001439044252038002,0.001438097795471549,0.22998312,0.22969186,0.002856810814101607,-0.0024946934959552136,1.1682510375976562e-05,-9.4645656645298e-07,-0.0002912581
000955.npy,30.66310898613448,30.698065110629457,0.6532829160710368,0.6556633140282948,0.02225242555141449,0.022202666848897934,0.0008583988528698683,0.0008515173685736954,0.15421219,0.15195836,0.03495612449497898,0.0023803979572579737,-4.9758702516555786e-05,-6.881484296172857e-06,-0.0022538304
000956.npy,23.201548141812772,23.21363234535199,0.7284144107435053,0.7262428364635818,0.045559849590063095,0.04543210193514824,0.004784595221281052,0.004771300591528416,0.38206804,0.3794663,0.012084203539217242,-0.0021715742799235382,-0.00012774765491485596,-1.3294629752635956e-05,-0.0026017427
000960.npy,35.75460285964139,35.89567438595193,0.8927552252769471,0.8990451199507713,0.011587650515139103,0.011391513049602509,0.00026579067343845963,0.0002572957018855959,0.07487609,0.0714376,0.1410715263105402,0.006289894673824237,-0.0001961374655365944,-8.494971552863717e-06,-0.003438495
000972.npy,30.42147900009536,30.419328907466262,0.8828540637128763,0.8888021238303744,0.018429484218358994,0.018251551315188408,0.0009075113921426237,0.0009079608717001975,0.120333046,0.11660078,-0.0021500926290975997,0.005948060117498044,-0.00017793290317058563,4.494795575737953e-07,-0.003732264
