filename,psnr_champ,psnr_adv,ssim_champ,ssim_adv,mae_champ,mae_adv,mse_champ,mse_adv,grad_mae_champ,grad_mae_adv,d_PSNR,d_SSIM,d_MAE,d_MSE,d_GradMAE
000779.npy,21.21102747301158,21.08667148591937,0.3558794079968896,0.32425364948179247,0.06691677123308182,0.0681639313697815,0.007566538639366627,0.00778633076697588,0.5197329,0.525481,-0.12435598709220841,-0.031625758515097135,0.0012471601366996765,0.00021979212760925293,0.005748093
000791.npy,34.92231656309594,35.213911986676735,0.915864303747952,0.9206515629769564,0.011259541846811771,0.01161231193691492,0.0003219351056031883,0.0003010293294209987,0.06918061,0.06310514,0.2915954235807945,0.004787259229004359,0.0003527700901031494,-2.0905776182189584e-05,-0.006075464
000795.npy,27.215172013681702,27.366316124191407,0.6852231566197872,0.7049970378988646,0.03307371959090233,0.03257075697183609,0.0018988156225532293,0.0018338692607358098,0.2795517,0.2750692,0.1511441105097049,0.01977388127907742,-0.0005029626190662384,-6.494636181741953e-05,-0.0044825077
000804.npy,20.84679131661252,20.887461490365023,0.6255488656227803,0.626214355440723,0.06665490567684174,0.06632402539253235,0.008228504098951817,0.008151805959641933,0.5515245,0.5482287,0.04067017375250259,0.0006654898179426771,-0.0003308802843093872,-7.669813930988312e-05,-0.0032958388
000815.npy,23.134839762501453,23.13897871542202,0.6842043497485221,0.6792435181885548,0.04846840351819992,0.04863705858588219,0.004858654458075762,0.00485402625054121,0.40623772,0.40490103,0.004138952920566652,-0.004960831559967294,0.00016865506768226624,-4.6282075345516205e-06,-0.0013366938
000835.npy,23.994641197895227,23.897379583884415,0.784113953893777,0.7811121680418011,0.03776862844824791,0.038168758153915405,0.003985987044870853,0.004076261539012194,0.3092454,0.31128615,-0.09726161401081157,-0.003001785851975969,0.00040012970566749573,9.027449414134026e-05,0.0020407438
000854.npy,22.22827237441864,22.2725193326862,0.5957726337090805,0.596976071835252,0.057373687624931335,0.057153552770614624,0.005986497271806002,0.005925814621150494,0.46155477,0.45847428,0.04424695826756064,0.0012034381261715188,-0.00022013485431671143,-6.068265065550804e-05,-0.0030804873
000860.npy,28.933771068792634,28.869688305026706,0.8670907007752005,0.8640684563763663,0.021991871297359467,0.02221051976084709,0.0012782708508893847,0.0012972725089639425,0.17143315,0.17162149,-0.06408276376592781,-0.0030222443988341396,0.00021864846348762512,1.900165807455778e-05,0.00018833578
000863.npy,25.48634416426294,25.57536297224918,0.67965826441136,0.68214088781917,0.040414173156023026,0.039923153817653656,0.0028272587805986404,0.0027698976919054985,0.28617036,0.2813757,0.08901880798624262,0.002482623407810025,-0.0004910193383693695,-5.736108869314194e-05,-0.004794657
000870.npy,24.305692156092192,24.377388565121933,0.2905234159922267,0.29303732521338854,0.04845820739865303,0.04809067025780678,0.0037104857619851828,0.003649733494967222,0.35239536,0.3489344,0.07169640902974095,0.0025139092211618475,-0.00036753714084625244,-6.075226701796055e-05,-0.0034609437
000877.npy,34.219432235711736,35.253822841379915,0.843959962888956,0.8732774904279709,0.014005281031131744,0.012468598783016205,0.0003784920845646411,0.00029827558319084346,0.093987234,0.08089353,1.0343906056681789,0.029317527539014843,-0.0015366822481155396,-8.021650137379766e-05,-0.0130937025
000878.npy,35.77322891989681,36.26557749871343,0.877207076798521,0.8915231053548157,0.011922680772840977,0.011296754702925682,0.0002646532084327191,0.00023628830967936665,0.08019867,0.072809376,0.49234857881661753,0.014316028556294769,-0.0006259260699152946,-2.8364898753352463e-05,-0.007389292
000880.npy,28.422115524169918,28.537672820267353,0.5132313305375725,0.5073313776102811,0.029792383313179016,0.02951982617378235,0.001438097795471549,0.0014003374380990863,0.22969186,0.22841085,0.11555729609743537,-0.005899952927291396,-0.0002725571393966675,-3.776035737246275e-05,-0.0012810081
000955.npy,30.698065110629457,31.106383586135582,0.6556633140282948,0.6716079130059779,0.022202666848897934,0.021282540634274483,0.0008515173685736954,0.0007751069497317076,0.15195836,0.14325267,0.40831847550612466,0.015944598977683078,-0.0009201262146234512,-7.641041884198785e-05,-0.0087056905
